 num     #instances         #bytes  class name (module)
  89:             5            200  java.lang.ref.SoftReference (java.base@17.0.7)
  90:             5            200  java.security.CodeSource (java.base@17.0.7)
  91:             5            200  java.security.ProtectionDomain (java.base@17.0.7)
  92:             3            192  java.lang.Class$ReflectionData (java.base@17.0.7)
  93:             6            192  java.lang.invoke.MethodHandles$Lookup (java.base@17.0.7)
  94:             6            192  java.lang.ref.ReferenceQueue (java.base@17.0.7)
  95:             6            192  java.util.Hashtable$Entry (java.base@17.0.7)
  96:             2            176  java.lang.reflect.Method (java.base@17.0.7)
  97:             3            168  java.nio.HeapByteBuffer (java.base@17.0.7)
  98:             5            160  java.nio.file.attribute.FileTime (java.base@17.0.7)
  99:             2            160  java.util.zip.ZipFile$Source (java.base@17.0.7)
 100:             8            144  [Ljava.lang.Class; (java.base@17.0.7)
 101:             4            144  [Ljava.lang.Thread; (java.base@17.0.7)
 102:             3            144  java.lang.ThreadGroup (java.base@17.0.7)
 103:             3            144  java.util.WeakHashMap (java.base@17.0.7)
 104:             6            144  jdk.internal.perf.PerfCounter (java.base@17.0.7)
 105:             8            128  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.7)
 106:             2            128  java.util.zip.Inflater (java.base@17.0.7)
 107:             4            128  jdk.internal.loader.NativeLibraries (java.base@17.0.7)
 108:             2            128  sun.nio.cs.SingleByte$Encoder (java.base@17.0.7)
 109:             2            128  sun.nio.fs.WindowsFileAttributes (java.base@17.0.7)
 110:             5            120  java.lang.module.ModuleDescriptor$Opens (java.base@17.0.7)
 111:             5            120  java.util.zip.ZipFile$InflaterCleanupAction (java.base@17.0.7)
 112:             3            120  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@17.0.7)
 113:             5            120  sun.nio.fs.WindowsPathType (java.base@17.0.7)
 114:             2            112  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.7)
 115:             2            112  java.io.FileCleanable (java.base@17.0.7)
 116:             2            112  java.util.LinkedHashMap (java.base@17.0.7)
 117:             2            112  java.util.jar.JarFile (java.base@17.0.7)
 118:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@17.0.7)
 119:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@17.0.7)
 120:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@17.0.7)
 121:             1             96  [Lsun.util.locale.BaseLocale; (java.base@17.0.7)
 122:             3             96  java.lang.Runtime$Version (java.base@17.0.7)
 123:             4             96  java.lang.module.ModuleDescriptor$Modifier (java.base@17.0.7)
 124:             4             96  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@17.0.7)
 125:             3             96  java.lang.ref.WeakReference (java.base@17.0.7)
 126:             4             96  java.util.ArrayDeque (java.base@17.0.7)
 127:             3             96  java.util.ArrayDeque$DeqIterator (java.base@17.0.7)
 128:             4             96  java.util.Collections$SetFromMap (java.base@17.0.7)
 129:             1             96  java.util.jar.JarVerifier (java.base@17.0.7)
 130:             4             96  jdk.internal.loader.NativeLibraries$1 (java.base@17.0.7)
 131:             2             96  sun.nio.cs.StreamEncoder (java.base@17.0.7)
 132:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@17.0.7)
 133:             1             80  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.7)
 134:             5             80  [Ljava.security.Principal; (java.base@17.0.7)
 135:             2             80  java.io.BufferedWriter (java.base@17.0.7)
 136:             2             80  java.io.PrintStream (java.base@17.0.7)
 137:             2             80  java.lang.ModuleLayer (java.base@17.0.7)
 138:             2             80  java.lang.module.Configuration (java.base@17.0.7)
 139:             5             80  java.security.ProtectionDomain$Key (java.base@17.0.7)
 140:             2             80  java.util.HashMap$EntryIterator (java.base@17.0.7)
 141:             2             80  java.util.HashMap$KeyIterator (java.base@17.0.7)
 142:             2             80  java.util.zip.ZipFile$Source$End (java.base@17.0.7)
 143:             2             80  jdk.internal.loader.URLClassPath$JarLoader$2 (java.base@17.0.7)
 144:             2             80  sun.nio.fs.WindowsPath (java.base@17.0.7)
 145:             3             72  [Ljava.security.ProtectionDomain; (java.base@17.0.7)
 146:             3             72  java.io.ByteArrayOutputStream (java.base@17.0.7)
 147:             3             72  java.util.concurrent.atomic.AtomicLong (java.base@17.0.7)
 148:             3             72  sun.nio.fs.WindowsPathParser$Result (java.base@17.0.7)
 149:             2             64  [Ljava.nio.charset.CoderResult; (java.base@17.0.7)
 150:             2             64  java.io.BufferedOutputStream (java.base@17.0.7)
 151:             2             64  java.io.FileOutputStream (java.base@17.0.7)
 152:             2             64  java.io.RandomAccessFile (java.base@17.0.7)
 153:             2             64  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.7)
 154:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@17.0.7)
 155:             2             64  java.util.HexFormat (java.base@17.0.7)
 156:             2             64  java.util.jar.Manifest$FastInputStream (java.base@17.0.7)
 157:             2             64  java.util.zip.ZipFile$CleanableResource (java.base@17.0.7)
 158:             2             64  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.7)
 159:             2             64  sun.nio.fs.NativeBuffer (java.base@17.0.7)
 160:             1             56  [Ljava.nio.file.StandardOpenOption; (java.base@17.0.7)
 161:             1             56  java.nio.HeapCharBuffer (java.base@17.0.7)
 162:             1             56  java.util.Properties (java.base@17.0.7)
 163:             2             48  [Ljava.lang.reflect.Constructor; (java.base@17.0.7)
 164:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@17.0.7)
 165:             2             48  java.io.File$PathStatus (java.base@17.0.7)
 166:             2             48  java.io.OutputStreamWriter (java.base@17.0.7)
 167:             2             48  java.lang.Class$1 (java.base@17.0.7)
 168:             1             48  java.lang.NullPointerException (java.base@17.0.7)
 169:             3             48  java.lang.ThreadLocal (java.base@17.0.7)
 170:             3             48  java.nio.charset.CodingErrorAction (java.base@17.0.7)
 171:             2             48  java.security.SecureClassLoader$1 (java.base@17.0.7)
 172:             2             48  java.util.ImmutableCollections$MapN$MapNIterator (java.base@17.0.7)
 173:             3             48  java.util.WeakHashMap$KeySet (java.base@17.0.7)
 174:             2             48  java.util.jar.Manifest (java.base@17.0.7)
 175:             2             48  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.7)
 176:             2             48  java.util.zip.ZipFile$Source$Key (java.base@17.0.7)
 177:             1             48  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.7)
 178:             2             48  jdk.internal.misc.Signal (java.base@17.0.7)
 179:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@17.0.7)
 180:             3             48  jdk.internal.module.ServicesCatalog (java.base@17.0.7)
 181:             3             48  jdk.internal.reflect.ReflectionFactory$GetReflectionFactoryAction (java.base@17.0.7)
 182:             1             48  sun.nio.cs.SingleByte$Decoder (java.base@17.0.7)
 183:             2             48  sun.nio.fs.NativeBuffer$Deallocator (java.base@17.0.7)
 184:             2             48  sun.nio.fs.WindowsFileAttributeViews$Basic (java.base@17.0.7)
 185:             1             40  [Lsun.nio.fs.WindowsPathType; (java.base@17.0.7)
 186:             1             40  java.io.BufferedInputStream (java.base@17.0.7)
 187:             1             40  java.lang.ArithmeticException (java.base@17.0.7)
 188:             1             40  java.lang.Package$VersionInfo (java.base@17.0.7)
 189:             1             40  java.lang.VirtualMachineError (java.base@17.0.7)
 190:             1             40  java.util.IdentityHashMap (java.base@17.0.7)
 191:             1             40  jdk.internal.loader.URLClassPath (java.base@17.0.7)
 192:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@17.0.7)
 193:             1             40  sun.nio.cs.StandardCharsets$Aliases (java.base@17.0.7)
 194:             1             40  sun.nio.cs.StandardCharsets$Cache (java.base@17.0.7)
 195:             1             40  sun.nio.cs.StandardCharsets$Classes (java.base@17.0.7)
 196:             2             32  [Ljava.lang.StackTraceElement; (java.base@17.0.7)
 197:             1             32  [Ljava.lang.ThreadGroup; (java.base@17.0.7)
 198:             1             32  [Ljava.lang.module.ModuleDescriptor$Modifier; (java.base@17.0.7)
 199:             1             32  [Ljava.lang.module.ModuleDescriptor$Requires$Modifier; (java.base@17.0.7)
 200:             2             32  [Ljava.nio.file.LinkOption; (java.base@17.0.7)
 201:             1             32  [Ljdk.internal.module.ServicesCatalog; (java.base@17.0.7)
 202:             1             32  [Lsun.nio.fs.NativeBuffer; (java.base@17.0.7)
 203:             1             32  java.io.ByteArrayInputStream (java.base@17.0.7)
 204:             1             32  java.io.FileInputStream (java.base@17.0.7)
 205:             1             32  java.io.WinNTFileSystem (java.base@17.0.7)
 206:             2             32  java.lang.Boolean (java.base@17.0.7)
 207:             1             32  java.lang.Module$ArchivedData (java.base@17.0.7)
 208:             1             32  java.lang.Package (java.base@17.0.7)
 209:             1             32  java.lang.module.ModuleDescriptor$Version (java.base@17.0.7)
 210:             1             32  java.net.URI$Parser (java.base@17.0.7)
 211:             2             32  java.nio.ByteOrder (java.base@17.0.7)
 212:             2             32  java.security.SecureClassLoader$CodeSourceKey (java.base@17.0.7)
 213:             1             32  java.util.Collections$UnmodifiableMap (java.base@17.0.7)
 214:             2             32  java.util.HashMap$EntrySet (java.base@17.0.7)
 215:             2             32  java.util.HashMap$KeySet (java.base@17.0.7)
 216:             1             32  java.util.ImmutableCollections$ListItr (java.base@17.0.7)
 217:             2             32  java.util.ImmutableCollections$MapN$1 (java.base@17.0.7)
 218:             1             32  java.util.concurrent.ConcurrentHashMap$ReservationNode (java.base@17.0.7)
