 num     #instances         #bytes  class name (module)
  90:             2             96  java.util.WeakHashMap (java.base@17.0.7)
  91:             2             96  sun.nio.cs.StreamEncoder (java.base@17.0.7)
  92:             5             88  [Ljava.lang.Class; (java.base@17.0.7)
  93:             1             88  java.lang.reflect.Method (java.base@17.0.7)
  94:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@17.0.7)
  95:             1             80  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.7)
  96:             5             80  [Ljava.security.Principal; (java.base@17.0.7)
  97:             2             80  java.io.BufferedWriter (java.base@17.0.7)
  98:             2             80  java.io.PrintStream (java.base@17.0.7)
  99:             2             80  java.lang.ModuleLayer (java.base@17.0.7)
 100:             2             80  java.lang.module.Configuration (java.base@17.0.7)
 101:             5             80  java.security.ProtectionDomain$Key (java.base@17.0.7)
 102:             1             80  java.util.zip.ZipFile$Source (java.base@17.0.7)
 103:             3             72  java.util.ArrayDeque (java.base@17.0.7)
 104:             3             72  java.util.Collections$SetFromMap (java.base@17.0.7)
 105:             3             72  java.util.concurrent.atomic.AtomicLong (java.base@17.0.7)
 106:             2             64  [Ljava.nio.charset.CoderResult; (java.base@17.0.7)
 107:             2             64  java.io.BufferedOutputStream (java.base@17.0.7)
 108:             2             64  java.io.FileOutputStream (java.base@17.0.7)
 109:             2             64  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.7)
 110:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@17.0.7)
 111:             2             64  java.lang.ref.WeakReference (java.base@17.0.7)
 112:             2             64  java.util.HexFormat (java.base@17.0.7)
 113:             1             64  java.util.zip.Inflater (java.base@17.0.7)
 114:             2             64  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.7)
 115:             2             64  sun.nio.fs.NativeBuffer (java.base@17.0.7)
 116:             1             64  sun.nio.fs.WindowsFileAttributes (java.base@17.0.7)
 117:             1             56  [Ljava.nio.file.StandardOpenOption; (java.base@17.0.7)
 118:             1             56  java.io.FileCleanable (java.base@17.0.7)
 119:             1             56  java.util.LinkedHashMap (java.base@17.0.7)
 120:             1             56  java.util.Properties (java.base@17.0.7)
 121:             1             56  java.util.jar.JarFile (java.base@17.0.7)
 122:             2             48  [Ljava.lang.reflect.Constructor; (java.base@17.0.7)
 123:             2             48  [Ljava.security.ProtectionDomain; (java.base@17.0.7)
 124:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@17.0.7)
 125:             2             48  java.io.File$PathStatus (java.base@17.0.7)
 126:             2             48  java.io.OutputStreamWriter (java.base@17.0.7)
 127:             1             48  java.lang.NullPointerException (java.base@17.0.7)
 128:             3             48  java.lang.ThreadLocal (java.base@17.0.7)
 129:             3             48  java.nio.charset.CodingErrorAction (java.base@17.0.7)
 130:             3             48  java.util.Optional (java.base@17.0.7)
 131:             1             48  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.7)
 132:             2             48  jdk.internal.misc.Signal (java.base@17.0.7)
 133:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@17.0.7)
 134:             3             48  jdk.internal.module.ServicesCatalog (java.base@17.0.7)
 135:             2             48  sun.nio.fs.NativeBuffer$Deallocator (java.base@17.0.7)
 136:             1             40  [Lsun.nio.fs.WindowsPathType; (java.base@17.0.7)
 137:             1             40  java.io.BufferedInputStream (java.base@17.0.7)
 138:             1             40  java.lang.ArithmeticException (java.base@17.0.7)
 139:             1             40  java.lang.Package$VersionInfo (java.base@17.0.7)
 140:             1             40  java.lang.VirtualMachineError (java.base@17.0.7)
 141:             1             40  java.util.IdentityHashMap (java.base@17.0.7)
 142:             1             40  jdk.internal.loader.URLClassPath (java.base@17.0.7)
 143:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@17.0.7)
 144:             1             40  sun.nio.cs.StandardCharsets$Aliases (java.base@17.0.7)
 145:             1             40  sun.nio.cs.StandardCharsets$Cache (java.base@17.0.7)
 146:             1             40  sun.nio.cs.StandardCharsets$Classes (java.base@17.0.7)
 147:             1             40  sun.nio.fs.WindowsPath (java.base@17.0.7)
 148:             2             32  [Ljava.lang.StackTraceElement; (java.base@17.0.7)
 149:             1             32  [Ljava.lang.ThreadGroup; (java.base@17.0.7)
 150:             1             32  [Ljava.lang.module.ModuleDescriptor$Modifier; (java.base@17.0.7)
